,City,Latitude,Longitude,Temperature(F),Humidity,Wind Speed (MPH),Cloudiness
0,Thompson,55.74,-97.86,32.0,50,5.82,40
1,Mar del Plata,-46.43,-67.52,61.94,35,11.79,0
2,Inhambane,-23.87,35.38,75.98,100,7.43,92
3,Atuona,-9.8,-139.03,83.09,99,13.02,20
4,Saint Anthony,43.97,-111.68,50.0,43,21.92,75
5,Tuktoyaktuk,69.44,-133.03,5.0,77,13.87,40
6,Nhulunbuy,-12.18,136.78,77.0,100,4.7,90
7,Saldanha,41.42,-6.55,38.9,94,6.98,80
8,Chokurdakh,70.62,147.9,18.02,100,6.08,68
9,Potcoava,44.47,24.63,50.0,66,12.75,0
10,Shingu,33.72,135.99,62.6,77,2.24,0
11,Bundaberg,-24.87,152.35,82.99,57,9.17,40
12,Nanortalik,60.14,-45.24,32.06,91,17.27,68
13,Rio Gallegos,-51.62,-69.22,50.0,53,21.92,20
14,Provideniya,64.42,-173.23,17.21,100,5.75,36
15,Hermanus,-34.42,19.24,62.01,88,5.99,48
16,Pevek,69.7,170.27,11.99,93,6.2,0
17,Broken Hill,-31.97,141.45,68.0,42,11.41,0
18,At-Bashi,41.17,75.81,26.84,91,1.72,48
19,Rikitea,-23.12,-134.97,78.14,100,12.8,24
20,Talnakh,69.49,88.39,16.58,88,11.34,76
21,Mataura,-46.19,168.86,55.99,66,1.01,0
22,Bethel,60.79,-161.76,37.4,51,14.99,1
23,Albany,42.65,-73.75,55.4,47,11.41,40
24,Zhigansk,66.77,123.37,24.41,72,5.19,0
25,Chemal,51.41,86.0,27.29,79,2.73,32
26,Bougouni,11.42,-7.49,84.98,44,4.52,80
27,Kununurra,-15.77,128.74,80.6,83,4.7,56
28,Tessalit,20.2,1.01,64.37,27,7.54,0
29,Gull Lake,50.1,-108.48,59.0,33,17.22,75
30,Caravelas,-17.73,-39.27,82.73,97,13.8,0
31,Marsh Harbour,26.54,-77.06,75.98,100,10.22,24
32,Kapaa,22.08,-159.32,84.2,51,10.29,40
33,Xam Nua,20.42,104.04,60.41,90,1.83,0
34,Avarua,-21.21,-159.78,80.6,65,12.75,48
35,Paris,48.86,2.35,55.4,71,4.7,0
36,Bathsheba,13.22,-59.52,78.8,65,19.46,20
37,Punta Arenas,-53.16,-70.91,44.6,75,39.15,20
38,Cape Town,-33.93,18.42,64.4,72,11.41,0
39,Faya,18.39,42.45,62.6,59,11.41,0
40,Aklavik,68.22,-135.01,17.6,52,2.24,75
41,Khatanga,71.98,102.47,16.58,94,10.33,88
42,Puranpur,28.51,80.15,65.09,74,3.74,0
43,Yellowknife,62.45,-114.38,21.2,57,14.99,90
44,Ancud,-41.87,-73.83,55.4,100,11.41,90
45,Chuy,-33.69,-53.46,63.56,87,5.19,92
46,Nome,30.04,-94.42,77.0,94,5.82,90
47,Dikson,73.51,80.55,14.96,100,3.4,80
48,Miri,10.31,9.75,84.98,35,1.39,88
49,Ushuaia,-54.81,-68.31,37.4,86,4.7,90
50,Sabang,13.72,123.58,80.39,88,3.62,44
51,Prado,-17.34,-39.22,82.91,93,13.69,48
52,Chernyshevskiy,63.01,112.47,22.43,72,7.76,64
53,Birao,10.3,22.78,69.14,32,4.63,0
54,Iturama,-19.73,-50.2,74.81,94,2.51,56
55,Carnarvon,-30.97,22.13,47.72,76,6.64,0
56,Qaanaaq,77.48,-69.36,12.89,87,11.01,80
57,Hasaki,35.73,140.83,59.0,77,10.29,75
58,Sarkand,45.41,79.91,39.44,83,6.2,12
59,Pemberton,-34.44,116.03,60.32,77,6.98,48
60,Jamestown,-33.21,138.6,66.62,47,7.65,0
61,Mahebourg,-20.41,57.7,80.6,69,11.41,75
62,Bongandanga,1.51,21.07,73.46,94,1.95,68
63,San Ramon,12.92,-85.84,80.6,44,2.39,20
64,Havre-Saint-Pierre,50.23,-63.6,30.2,86,13.87,40
65,Sitka,37.17,-99.65,66.99,64,11.99,44
66,Georgetown,6.8,-58.16,82.4,83,11.41,20
67,Tasiilaq,65.61,-37.64,28.4,63,35.57,92
68,Isangel,-19.55,169.27,77.6,100,13.58,0
69,Cherskiy,68.75,161.3,16.04,72,2.39,0
70,Cidreira,-30.17,-50.22,69.41,96,7.76,100
71,Kandrian,-6.21,149.55,81.11,91,2.84,32
72,Batemans Bay,-35.71,150.18,64.99,76,3.06,0
73,New Norfolk,-42.78,147.06,64.0,58,16.11,75
74,Vaini,15.34,74.49,65.36,88,1.05,0
75,Kodiak,39.95,-94.76,73.4,15,11.41,1
76,College,64.86,-147.8,41.0,40,9.17,75
77,Kadnikov,59.5,40.34,20.99,71,2.95,0
78,Wagar,31.44,-87.99,77.0,85,4.74,88
79,Port Alfred,-33.59,26.89,61.0,90,1.99,8
80,Ponta do Sol,-20.63,-46.0,67.16,90,3.18,24
81,Camacha,33.08,-16.33,62.6,82,14.99,40
82,Bambous Virieux,-20.34,57.76,80.6,69,11.41,75
83,Pundaguitan,6.37,126.17,80.3,100,7.09,68
84,Uddevalla,58.35,11.94,46.0,93,2.24,24
85,Arraial do Cabo,-22.97,-42.02,80.6,94,3.36,0
86,Umm Kaddadah,13.6,26.69,63.02,25,3.62,0
87,Hithadhoo,-0.6,73.08,84.08,100,6.76,0
88,Hilo,19.71,-155.08,82.4,58,13.87,20
89,Lorengau,-2.02,147.27,84.44,94,6.2,32
90,Hit,33.64,42.83,58.88,74,5.53,80
91,Iqaluit,63.75,-68.52,19.4,92,2.24,90
92,Trapani,38.02,12.54,60.01,81,4.7,20
93,Port Elizabeth,39.31,-74.98,64.4,48,6.93,1
94,Butaritari,3.07,172.79,79.22,100,6.76,80
95,Balkanabat,39.51,54.36,56.99,82,3.85,36
96,Gornopravdinsk,60.06,69.92,20.72,77,4.63,8
97,Enshi,30.29,109.48,51.86,69,2.39,0
98,LUGOBA,-6.46,38.33,72.92,98,2.73,92
99,Hobart,-42.88,147.33,64.0,58,16.11,75
100,Verkh-Usugli,52.7,115.17,25.22,60,5.19,24
101,Esperance,10.24,-61.45,80.01,74,10.29,20
102,Kristiansund,63.12,7.73,41.0,69,9.17,48
103,Finschhafen,-6.6,147.85,77.24,90,1.28,80
104,Zalegoshch,52.9,36.89,23.24,67,2.95,0
105,Hay River,60.82,-115.79,32.0,53,12.75,90
106,Angatuba,-23.49,-48.41,70.13,97,5.97,68
107,Longyearbyen,78.22,15.63,17.6,57,19.46,20
108,Bandarbeyla,9.49,50.81,80.03,100,2.73,0
109,Madison,43.07,-89.38,64.4,55,14.99,75
110,Labuhan,-2.54,115.51,74.45,96,1.05,80
111,Guayata,4.96,-73.49,74.09,64,1.5,48
112,Monrovia,6.33,-10.8,80.6,88,6.87,20
113,Salamiyah,35.01,37.05,47.09,92,2.84,80
114,Gwadar,25.12,62.33,77.69,74,7.87,8
